    schemaname    |             tablename              | row_count 
 public           | risk_flags                         |         0
 public           | scan_policies                      |         3
 public           | scan_policy_templates              |         4
 public           | scans                              |         3
 public           | schema_migrations                  |         9
 public           | search_index_events                |         3
 public           | system_logs                        |         0
 public           | tax_records                        |         0
 public           | tenants                            |         2
 public           | ticket_types                       |        28
 public           | tickets                            |        10
 public           | transactions                       |         3
 public           | venue_settings                     |         5
 public           | venue_verifications                |         0
 public           | venues                             |         5
 public           | webhook_events                     |         0
 public           | webhook_inbox                      |         2
 public           | webhook_logs                       |         0
 tickets          | ticket_batch_operations            |         0
 tickets          | ticket_metadata                    |    112071
 tickets          | ticket_ownership_history           |         0
 tickets          | ticket_redemptions                 |         0
 tickets          | ticket_refunds                     |         0
 tickets          | ticket_resale_listings             |         0
 tickets          | ticket_transactions                |         0
 tickets          | ticket_transfers                   |         0
 tickets          | ticket_type_analytics              |         0
 tickets          | ticket_type_availability_schedules |         0
 tickets          | ticket_type_benefits               |         0
 tickets          | ticket_type_refund_policies        |         0
 tickets          | ticket_type_restrictions           |         0
 tickets          | ticket_type_transfer_policies      |         0
 tickets          | ticket_types                       |      1500
 tickets          | ticket_validations                 |         0
 tickets          | tickets                            |    112071
 venues           | layout_accessibility_features      |         0
 venues           | layout_pricing_zones               |         0
 venues           | layout_seats                       |         0
 venues           | layout_sections                    |         0
 venues           | staff_certifications               |         0
 venues           | staff_schedules                    |         0
 venues           | staff_training_records             |         0
 venues           | venue_blackout_dates               |         0
 venues           | venue_compliance                   |         0
 venues           | venue_custom_categories            |         0
 venues           | venue_integrations                 |         0
 venues           | venue_layouts                      |         0
 venues           | venue_maintenance                  |         0
 venues           | venue_notification_templates       |         0
 venues           | venue_operating_hours              |         0
 venues           | venue_payout_accounts              |         0
 venues           | venue_policies                     |         0
 venues           | venue_pricing_rules                |         0
 venues           | venue_settings                     |       113
 venues           | venue_staff                        |         0
 venues           | venues                             |       168
(213 rows)

